Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak,Orig. Scheduled
45,Saturday May 18,boxscore,MIN,@,SEA,W,18,4,,30-15,1,up 5.5,Duffey,LeBlanc,,3:50,N,34440,+++++,
46,Sunday May 19,boxscore,MIN,@,SEA,L,4,7,,30-16,1,up 4.5,Kikuchi,Gibson,,3:00,D,31070,-,
47,Monday May 20,boxscore,MIN,@,LAA,W,3,1,,31-16,1,up 5.5,Rogers,Buttrey,Parker,3:28,N,34177,+,
48,Tuesday May 21,boxscore,MIN,@,LAA,W,8,3,,32-16,1,up 6.5,Pineda,Bard,,3:27,N,32316,++,
49,Thursday May 23,boxscore,MIN,@,LAA,W,16,7,,33-16,1,up 8.0,Perez,Harvey,,3:27,D,30992,+++,2019-05-22 (Wet Grounds)
50,Friday May 24,boxscore,MIN,,CHW,W,11,4,,34-16,1,up 8.0,Berrios,Lopez,,3:27,N,29638,++++,
51,Saturday May 25,boxscore,MIN,,CHW,W,8,1,,35-16,1,up 9.0,Gibson,Banuelos,,3:16,D,39139,+++++,
52,Sunday May 26,boxscore,MIN,,CHW,W,7,0,,36-16,1,up10.0,Odorizzi,Covey,,2:55,D,39913,++++++,
53,Monday May 27,boxscore,MIN,,MIL,L,4,5,,36-17,1,up10.0,Burnes,Rogers,Hader,3:12,N,29167,-,
54,Tuesday May 28,boxscore,MIN,,MIL,W,5,3,,37-17,1,up10.0,Magill,Claudio,Harper,2:40,N,27120,+,
55,Thursday May 30,boxscore,MIN,@,TBR,L,3,14,,37-18,1,up 9.5,Morton,Perez,,2:44,N,8076,-,
56,Friday May 31,boxscore,MIN,@,TBR,W,5,3,,38-18,1,up10.5,Rogers,Castillo,,2:48,N,14375,+,
57,Saturday Jun 1,boxscore,MIN,@,TBR,W,6,2,,39-18,1,up10.5,Gibson,Chirinos,,3:39,D,14381,++,
58,Sunday Jun 2,boxscore,MIN,@,TBR,W,9,7,,40-18,1,up11.5,Odorizzi,Yarbrough,Rogers,3:24,D,14616,+++,
59,Tuesday Jun 4,boxscore,MIN,@,CLE,L,2,5,,40-19,1,up10.5,Bieber,Smeltzer,Hand,2:25,N,15814,-,
60,Wednesday Jun 5,boxscore,MIN,@,CLE,L,7,9,,40-20,1,up 9.5,Wittgren,Parker,Hand,3:26,N,16962,--,
61,Thursday Jun 6,boxscore,MIN,@,CLE,W,5,4,,41-20,1,up10.5,Berrios,Bauer,Rogers,3:02,N,15350,+,
